time_stamp,influencer,promoter,influncer_tweet,promoter_tweet,influencer_tweet_likes,promoter_tweet_likes,influencer_tweet_text,promoter_tweet_text
"10:15 PM · Oct 10, 2021",,https://twitter.com/ArlissCrab,,https://twitter.com/ArlissCrab/status/1447325017453342722?s=20,,,,There are a lot of projects with brilliant ideas all over twitter. The one caught my eye is @tribeonedefi where users get access to loans to purchase their desired #NFT art. #NFT artistes can also participate in the ongoing NFT Royale Battle Competition to showcase their works
"10:15 PM · Oct 10, 2021",,https://twitter.com/sarah__georgia,,https://twitter.com/sarah__georgia/status/1447324909567414280?t=hIMNeYRv4EJ5jdCNKYbPCA&s=19,,2.0,,"I believe all three coins in My portfolio will make me a millionaire, $BTC, $UNO and $HAKA"
"10:17 PM · Oct 10, 2021",,https://twitter.com/sarah__georgia,,https://twitter.com/sarah__georgia/status/1447325316536545293?t=vA9geSKUJS9gbkd5FvpyVw&s=19,,1.0,,"I accumulated more $HAKA @tribeonedefi , price still at a good entry point"
"10:18 PM · Oct 10, 2021",,https://twitter.com/sarah__georgia,,https://twitter.com/sarah__georgia/status/1447325721915973633?t=rA3X2RlEQkhbasE078LSnw&s=19,,3.0,,"Am still so very bullish on my $BTC, $UNO and $HAKA#altcoins"
"10:22 PM · Oct 10, 2021",https://twitter.com/binance,https://twitter.com/sarah__georgia,https://twitter.com/binance/status/1447154961100517382,https://twitter.com/sarah__georgia/status/1447326682923347970?t=KtazQ2j3Eb6MiedtnDKOKw&s=19,"7,703",1.0,"My favourite crypto is _________.

The price in January will be _________.",My favorite #crypto is $HAKAThe price in January will be $3
"10:24 PM · Oct 10, 2021",https://twitter.com/krakenfx,https://twitter.com/sarah__georgia,https://twitter.com/krakenfx/status/1447170084112408580,https://twitter.com/sarah__georgia/status/1447327317399941126?t=HV-O5ksoc7NsNAgBmxdCoQ&s=19,"1,126",1.0, Are you feeling bullish on #bitcoin today?,Feeling very bullish on #bitcoin and also very bullish on $HAKA @tribeonedefi
"10:28 PM · Oct 10, 2021",,https://twitter.com/sarah__georgia,,https://twitter.com/sarah__georgia/status/1447328148308250624?t=9JkzkrgkLzIOtJLm_rPrlg&s=19,,1.0,,"Passive income should be the first goal in crypto

I make mine from staking my bag $HAKA"
,,,,,,,,
"10:36 PM · Oct 10, 2021",,https://twitter.com/sarah__georgia,,https://twitter.com/sarah__georgia/status/1447330343296671749?t=NizvUyk0xUY9xzwZOXnQCw&s=19,,1.0,,"You are missing $HAKA on that list, this week and this month will be very bullish for it"
"3:47 AM · Oct 11, 2021",,https://twitter.com/sarah__georgia,,https://twitter.com/sarah__georgia/status/1447408529627770889?t=K3CuU0lEc2fZggXFSb1jmw&s=19,,1.0,,My  strong diamond hands  are in $HAKAThis week will definitely bring  it green candles
